,n,mean,median,std,sum,mean_vs_ref_%,sum_vs_ref_%,bias_mean,rmsd,slope,intercept,slope_origin,R2
LGR-1,7727,15.266833618092404,4.50597,221.5594877827421,117966.823367,-3.8632721011203963,-3.863272101120385,-0.6135005182541734,12.783469763955074,1.0112388816871782,-0.7919777147654405,1.0109773864100116,0.99680133984881
LGR-2R,7727,15.88033413634658,4.08677,218.74639239398363,122707.34187155002,0.0,0.0,,,,,,
LGR-3,7727,13.469480454757344,2.50751,160.82545942028392,104078.67547391,-15.18137881035717,-15.18137881035716,-2.4108536815892325,77.10059454542191,0.7082066547177867,2.2229221402546555,0.7089406193614243,0.9278808332651478
LGR-4,7727,9.957389418989258,1.38024,204.66902139319166,76940.74804053,-37.29735575148263,-37.29735575148263,-5.922944717357319,38.129358066843416,0.9228889382015772,-4.698395290389911,0.9213376215978454,0.9729184821678832
