,n,mean,median,std,sum,mean_vs_ref_%,sum_vs_ref_%,bias_mean,rmsd,slope,intercept,slope_origin,R2
QCL-1,9451,6.083471031816739,2.58479,90.63906576126939,57494.8847217,-1.3942516269801697,-1.3942516269801697,-0.08601820404740249,8.000786089386551,1.0250865185238465,-0.24078921004558013,1.0248960449804612,0.9928029328738026
QCL-2R,9451,6.169489235864141,2.40356,88.10213325887332,58307.842768152,0.0,0.0,,,,,,
QCL-3,9451,6.58878054935044,1.96048,86.31203672344502,62270.56497191101,6.796207878099492,6.796207878099492,0.41929131348629767,9.32346198043802,0.9742991983335216,0.5778521327207182,0.9747563016366603,0.9890421704837279
QCL-4,9451,6.542725748976829,1.96304,86.09939054443396,61835.301053580006,6.049714957650143,6.049714957650121,0.37323651311268646,9.261028167133386,0.9720099187628125,0.5459210180164691,0.9724417633238316,0.9892682875184475
