,n,mean,median,std,sum,mean_vs_ref_%,sum_vs_ref_%,bias_mean,rmsd,slope,intercept,slope_origin,R2
QCL-1,9451,0.3857965739181039,0.182784,1.9017562357290287,3646.1634201,0.006040114556404852,0.006040114556427056,2.3301147603427154e-05,0.13859225423089896,1.0185535911055077,-0.007134178414813952,1.0177927342846043,0.995018693164763
QCL-2R,9451,0.38577327277050055,0.178453,1.8624584148102774,3645.9432009540005,0.0,0.0,,,,,,
QCL-3,9451,0.37661665291178714,0.143211,1.882368889053466,3559.4039866693,-2.373575492400881,-2.373575492400881,-0.009156619858713366,0.2732143615935431,0.9999987248582279,-0.009156127943098454,0.9990222280574039,0.9789546840583458
QCL-4,9451,0.37648530675704156,0.142871,1.828795724010827,3558.1626341608,-2.4076229923228665,-2.4076229923228665,-0.009287966013458895,0.1839465263376176,0.9772236230549659,-0.0005014485375182623,0.9771701438008846,0.9904457384210198
