,n,mean,median,std,sum,mean_vs_ref_%,sum_vs_ref_%,bias_mean,rmsd,slope,intercept,slope_origin,R2
LGR-1,7727,1.8203440445968682,0.723384,9.19876124528349,14065.7984326,0.6600923760582189,0.6600923760582189,0.011937155999741158,0.5463469738441133,1.005704801811933,0.0016205531049614172,1.0057386320678185,0.9965056994603759
LGR-2R,7727,1.8084068885971267,0.711633,9.130587371362369,13973.560028189999,0.0,0.0,,,,,,
LGR-3,7727,1.3473349799100558,0.376622,6.078353842932231,10410.857389765,-25.496027005556687,-25.496027005556698,-0.46107190868707126,4.537704222671016,0.5993525686650123,0.26346166603786547,0.6048525276300554,0.8105694259705379
LGR-4,7727,0.8351693938712438,0.265726,6.905759869924877,6453.353906443101,-53.81739590037022,-53.81739590037024,-0.9732374947258833,4.157246461216689,0.6880340109683135,-0.40907605115296586,0.679494243006019,0.8275501111986223
